DATE,Avg Hourly Wages
3/1/2006,20.05
4/1/2006,20.15
5/1/2006,20.13
6/1/2006,20.23
7/1/2006,20.29
8/1/2006,20.32
9/1/2006,20.41
10/1/2006,20.43
11/1/2006,20.49
12/1/2006,20.57
1/1/2007,20.59
2/1/2007,20.68
3/1/2007,20.73
4/1/2007,20.78
5/1/2007,20.84
6/1/2007,20.95
7/1/2007,20.95
8/1/2007,21.00
9/1/2007,21.04
10/1/2007,21.06
11/1/2007,21.12
12/1/2007,21.17
1/1/2008,21.20
2/1/2008,21.26
3/1/2008,21.36
4/1/2008,21.38
5/1/2008,21.47
6/1/2008,21.51
7/1/2008,21.60
8/1/2008,21.70
9/1/2008,21.72
10/1/2008,21.76
11/1/2008,21.87
12/1/2008,21.94
1/1/2009,21.96
2/1/2009,21.99
3/1/2009,22.06
4/1/2009,22.09
5/1/2009,22.11
6/1/2009,22.14
7/1/2009,22.18
8/1/2009,22.23
9/1/2009,22.27
10/1/2009,22.30
11/1/2009,22.35
12/1/2009,22.36
1/1/2010,22.41
2/1/2010,22.45
3/1/2010,22.46
4/1/2010,22.49
5/1/2010,22.53
6/1/2010,22.53
7/1/2010,22.59
8/1/2010,22.62
9/1/2010,22.67
10/1/2010,22.74
11/1/2010,22.73
12/1/2010,22.76
1/1/2011,22.86
2/1/2011,22.87
3/1/2011,22.87
4/1/2011,22.91
5/1/2011,22.98
6/1/2011,23.01
7/1/2011,23.10
8/1/2011,23.07
9/1/2011,23.12
10/1/2011,23.20
11/1/2011,23.19
12/1/2011,23.22
1/1/2012,23.25
2/1/2012,23.28
3/1/2012,23.36
4/1/2012,23.39
5/1/2012,23.40
6/1/2012,23.46
7/1/2012,23.50
8/1/2012,23.48
9/1/2012,23.57
10/1/2012,23.56
11/1/2012,23.63
12/1/2012,23.73
1/1/2013,23.75
2/1/2013,23.78
3/1/2013,23.80
4/1/2013,23.87
5/1/2013,23.89
6/1/2013,23.96
7/1/2013,23.98
8/1/2013,24.02
9/1/2013,24.06
10/1/2013,24.09
11/1/2013,24.16
12/1/2013,24.18
1/1/2014,24.23
2/1/2014,24.33
3/1/2014,24.32
4/1/2014,24.34
5/1/2014,24.40
6/1/2014,24.46
7/1/2014,24.48
8/1/2014,24.54
9/1/2014,24.55
10/1/2014,24.58
11/1/2014,24.66
12/1/2014,24.62
1/1/2015,24.75
2/1/2015,24.79
3/1/2015,24.86
4/1/2015,24.89
5/1/2015,24.97
6/1/2015,24.97
7/1/2015,25.00
8/1/2015,25.09
9/1/2015,25.11
10/1/2015,25.19
11/1/2015,25.25
12/1/2015,25.24
1/1/2016,25.38
2/1/2016,25.38
3/1/2016,25.45
4/1/2016,25.53
5/1/2016,25.58
6/1/2016,25.62
7/1/2016,25.69
8/1/2016,25.72
9/1/2016,25.77
10/1/2016,25.89
11/1/2016,25.90
12/1/2016,25.92
1/1/2017,26.00
2/1/2017,26.07
3/1/2017,26.11
4/1/2017,26.17
5/1/2017,26.21
6/1/2017,26.26
7/1/2017,26.36
8/1/2017,26.38
9/1/2017,26.49
10/1/2017,26.49
11/1/2017,26.53
12/1/2017,26.61
1/1/2018,26.73
2/1/2018,26.75
3/1/2018,26.86
4/1/2018,26.91
5/1/2018,26.98
6/1/2018,27.04
7/1/2018,27.09
8/1/2018,27.20
9/1/2018,27.32
10/1/2018,27.37
11/1/2018,27.44
12/1/2018,27.55
1/1/2019,27.59
2/1/2019,27.71
3/1/2019,27.80
4/1/2019,27.78
5/1/2019,27.86
6/1/2019,27.95
7/1/2019,28.02
8/1/2019,28.13
9/1/2019,28.17
10/1/2019,28.23
11/1/2019,28.35
12/1/2019,28.37
1/1/2020,28.44
2/1/2020,28.55
3/1/2020,28.77
4/1/2020,30.01
5/1/2020,29.72
6/1/2020,29.38
7/1/2020,29.38
8/1/2020,29.48
9/1/2020,29.51
10/1/2020,29.54
11/1/2020,29.63
12/1/2020,29.90
1/1/2021,29.93
2/1/2021,30.06
3/1/2021,30.06
4/1/2021,30.21
5/1/2021,30.39
6/1/2021,30.54
7/1/2021,30.65
8/1/2021,30.77
9/1/2021,30.95
10/1/2021,31.15
11/1/2021,31.24
12/1/2021,31.40
1/1/2022,31.63
2/1/2022,31.65
3/1/2022,31.84
4/1/2022,31.95
5/1/2022,32.08
6/1/2022,32.20
7/1/2022,32.33
8/1/2022,32.44
9/1/2022,32.54
10/1/2022,32.70
11/1/2022,32.83
12/1/2022,32.94
1/1/2023,33.07
2/1/2023,33.15
3/1/2023,33.31
4/1/2023,33.44
5/1/2023,33.54
6/1/2023,33.70
7/1/2023,33.84
8/1/2023,33.91
9/1/2023,34.01
10/1/2023,34.10
11/1/2023,34.23
12/1/2023,34.34
1/1/2024,34.51
2/1/2024,34.57
3/1/2024,34.69
